review,ac,air_panas,bau,general,kebersihan,linen,service,sunrise_meal,tv,wifi
over all baik tapi kalau bisa kolong tempat tidur jg dibersihkan ya karena terdapat pampers bayi bekas,neut,neut,neut,pos,neg,neut,neut,neut,neut,neut
ac jarus dixcek secara berkakak tanpa harus menunggu customer complained terimakasih,neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
Nyaman tp ac bocor,neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
Kamarnya kotor apalagi kamar mandi kotor tak terawat. WiFi tidak bisa. No recommended,neut,neut,neut,neut,neg,neut,neut,neut,neut,neg
agak kotor di kamar yg lantai 2.,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
cemilan ga da padahal nginap sampe 4 hari berturut2,neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
Seprai berdebu dan cenderung kusam. Remote AC ga berfungsi. Lantai kamar mandi licin bahkan dalam ke,neg,neut,neut,neut,neg,neg,neut,neut,neut,neut
bagusss nyamn sayang watku ak nginpe kmar mandi nya bau bgt semuga lebih baik lg kdepan rekomended bgt,neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
tmpt tdr kurang bersih,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
kmr nyman syaf ramah cuman wif error mlulu pesen with brekfast sampe jam 10 paig blm dantar masa harus diingeti dlu lampu kamar agak remang2,neut,neut,neut,neut,neut,neut,pos,neg,neut,neg
"Secara objektif harus puas dengan fasilitas dan pelayanan yang diberikan sesuai harga kamar. AC, TV, Toilet, Tempat Tidur bahkan ada Balkonnya, lokasi mudah dijangkau hanya saja kala itu ketika check-in sambutan kurang ramau menurut saya mungkin karena resepsionisnya tdk ada yg ada Bos nya jadi beda lalu lampu tidur dikamar mati. Overall Mantab!",pos,neut,neut,pos,neut,neut,neg,neut,pos,neut
"Pelayanannya ramah, tempat strategis&byk tempat makan. Dgn budget murah udh dpt sarapan, cemilan&fasilitas kmar yg lumayan. Demi kenyamanan, utk keberishan dtingkatkan lagi. Next..balik lagi ksniÃ°ÂÂÂ",neut,neut,neut,neut,neg,pos,pos,pos,neut,neut
biasa ajaa remoote ac ga berfungi baru kali ini saya kevewa dagn airy biasanya dapet souvernier dari airy yg ini boro boro welkkom snack aja ga ada,neg,neut,neut,neut,neut,neg,neut,neut,neut,neut
spreinya kurang bersih. masih ada bekas rambutnya yg kamar atas. ,neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
Lumayan....tp kebersihanya masih kurang...selimut dan bantal nya kuning...harap ditingkat kan lagi...kebersihan nya,neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
kamar bersih .nyaman. ada desain gambar di dinding yang membuat kesan tersendiri sayang. enggak ada tong sampah. sama selimut di kamar,neut,neut,neut,neut,pos,neg,neut,neut,neut,neut
"awalnya sy mendapat kamar yg AC nya ga berfungsi dingin. Dan saya komplain ke receptionist, lalu sy dipindahkan ke kamar yg lebih bagus. kamarnya yg baru itu nyaman, bersih, ada cahaya matahari yg buat segar, ada snack, air mineral, peralatan mandi, dsb. saya puas Ã°ÂÂÂ",neg,neut,neut,neut,pos,pos,neut,neut,neut,neut
"air shower kecil dan lama panas, wifi lambat",neut,neg,neut,neut,neut,neut,neut,neut,neut,neg
Lebih di tingkatkan kebersihan kamar. ,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
cukup nyamman numun pirlu ditingkatkan lg kebersian kmr mndi miminal tdk bau,neut,neut,neg,neut,neg,neut,neut,neut,neut,neut
"wc agak kotor, sampe malem brisik kena anak kecil kurang kedap suara",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"kmr yg di berikan tdk sesuai sama pesanan di apk...pesanan double bet..malah di kasih singel...di komplen malah di kasih twin bet..katax yg double bet baru di bersihkan...pdhl pesanx 1 hari sebelumx..dan kmr mandi sempit,jorok kebangetan..pdhal hotel syariah.pihak hotel menduakan pesanan lewat aplikasi",neut,neut,neut,neut,neg,neut,neg,neut,neut,neut
kurang siap untuk kebutuhan mandinya waterheaternya ga bisa disetel tp lumayanlah msh dpt sarapan,neut,neg,neut,neut,neut,neg,neut,pos,neut,neut
"kamarnya luas, hotelnya tenang,kolam luas, namun dr kamar mandi ada bau tidak sedap, sepertinya dari saluran pembuangan.. but overall bagus..!!",neut,neut,neg,pos,neut,neut,neut,neut,neut,neut
"berisik,kamar kurang bersih,bwt yg lainnya lumayanlah untuk budget segitu",neut,neut,neut,pos,neg,neut,neut,neut,neut,neut
nyman bngt. tpi knpa wifi tdk dpat dgunakan,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
saat kedatangan pertama ga terlalu kotor speri nya krana nyaman bisa di tolaran dan mureh kami datang kembali kedatangan yg kedua dgan harga lebih mahal tp spirai snagatt kotor say minta tolong diganti tp kataian tidak ada lg sperainnya dnann tidak tahu taro dmnna sy minta ganti kamar dibilangya penuh selain sprai kotor lanta jug kotor,neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
sukaa cuma wifinya agk lmot,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
"resepsionis nggak ramah,gak ada senyum.,handuk nggak dikasih,,di janji kan mau diantar,,tp sampa check out,,mana handuk nya?? water  heater mati,,lantai debuan.. hadeeuuhh..",neut,neg,neut,neut,neg,neg,neg,neut,neut,neut
"kamar bau rokok, ac kurang dingin",neg,neut,neg,neut,neut,neut,neut,neut,neut,neut
nyaman tapi lantai terasa lembab dan basah,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
pelayanan buruk dan tidak ada sarapan.,neut,neut,neut,neut,neut,neut,neg,neg,neut,neut
"nyaman, bersih, wangi tapi sayang fasilitas seperti remot tv dan saklar lampu kamarnya tidak bisa di gunakan , mohon bisa di perbaiki lagi yaa agar lebih memuaskan pelanggan good deh airyroom",neut,neut,pos,neut,pos,neut,neut,neut,neg,neut
tidak sesuai. baru kali ini saya menginap di airy dengan kamar seperti itu. saya selalu menghunakan airy kemanapun saya pergi. saya sangat kecewa karna kamarnya jorok. tidak ada yg rama stafnya. saya minta bersiin kamar pagi saya balik jam 9 malam tetap juga belum dibersihkan. ragu menggunakan airy kembali. tidak sesuai gambar kali ini,neut,neut,neut,neg,neg,neut,neg,neut,neut,neut
"alamat susah dicarinya, ac gk dingin, tdk ada air panas",neg,neg,neut,neut,neut,neut,neut,neut,neut,neut
"semua fasilitas sesuai , hanya wifi aja yg kurang bagus , nyaman , bersih , dan ga ribet pokoknya ok deh ",neut,neut,neut,pos,pos,neut,neut,neut,neut,neg
Fasilitas Baik kebersihan kurang Karena lantai Tampak kolor Dan di kamar Mandi Ada kecoa,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"TV remote krg berfungsi, AC remote tdk berfungsi, wastafel kecil air nya.",neg,neut,neut,neut,neut,neut,neut,neut,neg,neut
"Kedua kali nginap disini, overall good price/value. lokasi strategis, sayangnya air panas waktu itu tidak nyala dan beberapa fasilitas (kursi, cat tembok) belum diperbaiki. semoga makin baik ke depannya.",neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
"kamar mandi agak kotor, dan televisi tidak support untuk memutar file video dari flashdrive.",neut,neut,neut,neut,neg,neut,neut,neut,neg,neut
"kelebihan: Pelayanan staffnya ramah. Kamar bersih, AC dingin, tersedia air hangat, sarapannya soto, parkir luas, sebelah mini market, diberikan snack kekurangannya: wifi tidak unlimited, hanya 12 jam senilai Rp 5000 (berupa voucher), lift ACnya tidak terasa n agak bau (mgkn krn jarang digunakan)",pos,neg,neut,neut,pos,pos,pos,neut,neut,neg
tv layarr cum 1/4 3/4 bagian layar tidak jals sairn chanel sering hilgn lebih cocok disbtt homestay drpad hotel lokasi sulit dacri karena masuk gang terus masuk gang kecil lagi enaknya semua snack gratis,neut,neut,neut,neut,neut,pos,neut,neut,neg,neut
"kamar kotor, kamar mandi kotor, air kecil penempatan kamar mandi tidak sesuqi",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"Sudah cukup, hanya perlu diatasi bau apek nya saja",neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
bebrapa kaki mati lampu dan seri serta selimut kurang bersih,neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
"Fasilitas kurang memuaskan...saluran televisi cm ada 3 saluran, AC kurang dingin. Karna kurang memuaskan saya jam 5 sore sudah cek out, masuk jam 2 siang keluar jam 5 sore.",neg,neut,neut,neut,neut,neut,neut,neut,neg,neut
"Wifi error, kamar mandi kotor, shower air hangat tidak menyala",neut,neg,neut,neut,neg,neut,neut,neut,neut,neg
"Bersih dan nyaman, tapi AC nya kurang dingin dan juga bocor. ",neg,neut,neut,neut,pos,neut,neut,neut,neut,neut
"kamar nya bersih, pelayan nya juga baik, akses nya gampang. kamar  mandi nya oke, cuma air panas nya mati, so lumayan lah. ",neut,neg,neut,neut,pos,neut,pos,neut,neut,neut
"Airnya kurang lancar, bau asap rokok, sarung bantal belom di ganti. Isi kotak kosong tidak ada air mineral dan tidak seperti di tampilan.",neut,neut,neg,neut,neut,neg,neut,neut,neut,neut
"nyaman, memuaskan hanya saya dipojokan kamar banyak semut",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
Kebersihan harap di tingkatkan,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"501 kamar mandi agak bau, sprei nya kurang bersih. selebihnya oke",neut,neut,neg,neut,neut,neg,neut,neut,neut,neut
"Remote ac ga ada, bingung nyari mbanya malem2",neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
Wastafel kamar mandi sering mampet. Peralatan mandi cuman dpat 1 set. Untuk cleaning room nya cuman dirapiin tdk diganti badcovernya,neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
"AC kurang dingin, listrik bunyi-bunyi mulu bikin tidak pules tidur, kunci pintu susah buat buka sama munutupnya ",neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
Saya pesan 3 kamar 1 kamar nya parah bgt lembab selimut kotor lagi. ,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
ac nya gak dingin... cuma brasa dry tanpa cool,neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
untuk kamar...lumayan baik. cuma pelayanan saja yg agak kurang baik. terhadap tamu kurang ramah. semoga... kedepannya semakin baik,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
Wi fi kurang bagus,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
sahur lupa diantar ke kamar padahal udah pesan. hotelnya suram tapi kamar oke.,neut,neut,neut,neut,neut,neut,neut,neg,neut,neut
"sangat memuaskan. Sprei dan handuknya wangi, kamarnya cukup bersih dan nyaman. AC dan air panasnya berfungsi dengan baik. Saluran TV sedikit bermasalah tapi cukup memuaskan. ini pengalaman kedua saya di airy gunung sahari. Terima.kasih",pos,pos,neut,neut,pos,pos,neut,neut,neg,neut
"kamar jelek, tembok jamuran",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
kamar nya bau jamur.. lembab.. kurang nyaman.. ,neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
"ga ada handuk , ac ga dingin , kamar kotor , semoga selanjutnya di upgrade lagi masalah kenyamananny",neg,neut,neut,neut,neg,neg,neut,neut,neut,neut
Kurang memuaskan.  Wc nya sudah jelek. Ac nya berisik..  Dan tempat sangat tidak nyaman...,neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
"air panas ga berfungsi,wastafel bocor,tirainya kok kotor sekali...",neut,neg,neut,neut,neg,neut,neut,neut,neut,neut
pelyanan memuaskan cm air hangatnya tidaj jln,neut,neg,neut,neut,neut,neut,pos,neut,neut,neut
"Hotelnya nyaman, lengkap dan luar. Tapi sayang saya dapet kamar yang ac nya kurang dingin. Mungkin untuk kedepannya dapat di perbaiki",neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
Air hangat kadang mati,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
"all perfect, hanya kurang informatif untuk wifi dan nomor operator yg dpt dihubungi",neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
baguss sekali. lebih ditingkatkan aja pelayanan nya . senang ada airy di kampung halaman . thanks airy,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
ac dingin. air panas oke. tv bruwet,pos,pos,neut,neut,neut,neut,neut,neut,neg,neut
"hotel sudah tua, jadi karpet terkesan bau apek, tapi kelengkapan kamar baik, walaupun kami dapat kamar standar bukan kamar airy room, menu sarapan sangat baik.",neut,neut,neut,neut,neut,pos,neut,pos,neut,neut
Saya batal menginap karena listrik mati. pelayanan kurang ramah.,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
pelayanan receptionis agak angkuh.. terutama yg cewe ngga sopan mohon manajemen tindak lanjuti,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
"pelayanannya baik dan ramah,room nya bersih dan nyaman tp ac nya gak dingin....",neg,neut,neut,neut,pos,neut,pos,neut,neut,neut
Kamar mandi agak sedikit bau dan parkiran cukup sulit,neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
"bau asap rokok dari kamar sebelah, sprei nya banyak noda kekuningan gtu",neut,neut,neg,neut,neg,neg,neut,neut,neut,neut
"kotor, ac bocor,sandal kamar ga ada. sarapan pagi ga ada. sprei dan selimut sudah bulukan. lantai berdebu, rambut dikamar mandi nyumbat saluran air. ihh airy cari rekanan yg bagus dikit. nyeremin tidurnya tapi udah kemalaman sampe mau gimana Lagi.",neut,neut,neut,neut,neg,neg,neut,neg,neut,neut
"fasilitasnya not bad!atitude karyawanya tdk memuaskan,dan hotelnya serem banyak hantu",neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
Penginapan ini cukup rensentatif dan sayangnya air panasnya tidak maksimal,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
"Pelayanan baik, kamar bersih, dekat dgn kuliner, hanya gak ada hot water.. Siap2 kedinginan...",neut,neg,neut,neut,pos,neut,pos,neut,neut,neut
"hanya wifi yg kurang memuaskan, wifi tidak bisa dipakai, selebihnya tidak masalah",neut,neut,neut,pos,neut,neut,neut,neut,neut,neg
"Kecewa bgt, di mulai dari pelayanan di awal nya yg lelet bgt ngasih kunci kamar, penjaga nya malah berantem dulu, kamar yg kotor (  kaya jarang di bersihin ) debu dimana mana, peralatan tidur nya bau apek, AC rusak kamar mandi nya kotor bgt, gaada peralatan mandi kaya di airy yg lain, pkoknya kecewa bgt gak sesuai sm yg di tawarkan di aplikasi airy",neg,neut,neut,neg,neg,neg,neg,neut,neut,neut
agak jorok wcnya dan spraynya gak bersh,neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
"Air asin, kamar kotor dan wc kotor.",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"ga da wifi d lantai 2,kamar mandi ga da gantungan handuk or baju,over all bagus,n recomended",neut,neut,neut,pos,neut,neg,neut,neut,neut,neg
manajement yg sangat buruk sudah terbit voucer hotel tapi sampai disana malah kamar ful,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
air panaz tidak berfungsi kebersiahn kamar kurang,neut,neg,neut,neut,neg,neut,neut,neut,neut,neut
"klo sekedar untuk tidur lumayan lah , tidak ada tempat untuk parkir mobil, fasilitas kamar ok untuk harga segitu . kekurangannya harus tingkatkan lg kebersihan kamar, seprei diganti jangan sampai banyak serangga.",neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
sangat baik semua nya..hanya tdk ada air panas utk mandi..sdg di perbaiki..,neut,neg,neut,pos,neut,neut,neut,neut,neut,neut
"Kurang ramah resepsionistnya,tvnya juga gk bersih chanelnya",neut,neut,neut,neut,neut,neut,neg,neut,neg,neut
"ac kamar berisik, staf hotel tidak ramah, makanan kurang sip",neg,neut,neut,neut,neut,neut,neg,neg,neut,neut
ada perbaikk air tapi ga diasi tau sehingga sempat mandi air kotor pelyananana kurang ramah,neut,neut,neut,neut,neg,neut,neg,neut,neut,neut
"kamar terlalu luas, sayang cuma bisa untuk 2 orang jadi lebih keliatan mubazir. + kamar bersih, bed bersih, toilet bersih. fasilitas ok lah. harga murah banget, pake kupon diskon. - wifi ga bisa connect. sarapan kurang sesuai (sambel lontong terlalu pedas). keep goin' airy!",neut,neut,neut,neut,neg,pos,neut,neg,neut,neg
"tolong harus ada stok selimut cadangan lah, masak selimut bekas dan bau sekali ga diganti dengan alasan semua selimut dipakai,",neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
"Saya batal menginap karena tempatnya agak jorok, bau tidak enak. Baru masuk gerbang sudah di sambut dengan jemuran cucian",neut,neut,neg,neut,neg,neut,neut,neut,neut,neut
"bagus tempatnya luas, tp sayang agak sedikit kotor",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"Menurut saya tidak ada ruang resepsionis, jadi kalau mau ketemu petugasnya bingung. Terus kemarin masuk kantor ada 2 orang sepertinya pemilikinya tapi tidak ramah. Mereka berdua asik makan sedangkan yang jaga melayani saya. Seharusnya sebagai pemilik sekedar basa basi dan membuat tamu nyaman ini tidak sama sekali makan saja. Air ditoilet pas mandi eh habis air sedang sampoan lagi itu. Sama ruang penginapan dan kost sepertinya nyatu dalam 1 gedung. Seharusnya untuk kost sendiri untuk penginapan yg pakai online atau airy room dipisah, oh ya spreinya sepertinya tidak di ganti. Soalnya bikin gatal akhirnya saya tidur di atas bedcover. Saran di perbaiki lagi pelayanannya biar bagus. Sama kalau bisa ruang penginapan kasih jendela yang menghadap pemandangan. Jangan menghadap lorong kan kelihatan orang lain kalau yang suami istri atau ganti baju. Walaupun pakai korden.",neut,neut,neut,neut,neut,neg,neg,neut,neut,neut
smuanyah ok tip sanc gk ada katnua blum dikirim dri pihak airy nya remmot tv tdk berfungsi,neut,neut,neut,pos,neut,neg,neut,neut,neg,neut
"Kamarnya bau tidak enak, ACnya tidak dingin..",neg,neut,neg,neut,neut,neut,neut,neut,neut,neut
"Kamar no. 6 shower air hangat tidak berfungsi dengan baik, banyak rambut diselimut.",neut,neg,neut,neut,neut,neg,neut,neut,neut,neut
"Lokasi sangat strategis, dekat dengan landmark Palembang dan kuliner khas Palembang di sekelilingnya. Pada saat keluarga dan saya menginap di sana WIFI tidak berfungsi. Tidak ada shower air panas.",neut,neg,neut,neut,neut,neut,neut,neut,neut,neg
Bagus... air panas nya tidak menyala,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
kamar nya kurang dingin Krn AC nya rusak. penanganan pindah kamar lama,neg,neut,neut,neut,neut,neut,neg,neut,neut,neut
"lumayan, keseluruhan nyaman sayangnya, ada beberapa hal yang harus diperhatikan, kurangnya kebersihan pada kamar, ada bekas rexona di bawah kasur dari tamu awal, tapi selebihnya luar biasa. nyaman, wifi cepat. pelayanan yang baik. terimakasih. rekomended buat backpacker yang bingung nyari tempat untuk menginap, terimakasih airy. anda memang keceeee",neut,neut,neut,pos,neg,neut,pos,neut,neut,pos
datang langsung ditolak karena Miss comunication antara airy dan pemilik tempat tv nya rusak hordeng ga tertutup rapet kamarnya besar banget air nya kurang panas dikit kasur nyaman banget ada meja kursi jg buat kerja ada kulkas buat nyimpen makanan & minuman,neut,neg,neut,neut,neut,pos,neg,neut,neg,neut
"Toiletnya kotor, banjir, dan tidak bisa di flush sangat mengecewakan. AC kurang dingin. pelayanan lu",neg,neut,neut,neut,neg,neut,neut,neut,neut,neut
kebersihannya perlu ditingkatkan lagi.... males banget pas baru masuk bau asap rokok gitu...,neut,neut,neg,neut,neg,neut,neut,neut,neut,neut
"Kamar kotor seperti tidak pernah dibersihkan, seprei tidak diganti, kamar mandi wastafelnya bocor lampu sangat redup tembok berkarat sampai berearna hitam, air panas tidak nyala, tv gambarnya buram. Hotel seperti tidak terawat padahal di foto terlihat bagus tapi ternyata hanya gambar saja. Mohon segera ditingkatkan kualitasnya",neut,neg,neut,neut,neg,neg,neut,neut,neg,neut
"ac tidak dingin,  bangunan lama, naik ke lantai 3 dgn tangga, no Wifi,  service dari para petugas hotel yang kurang memuaskan, kualitas kebersihan kurang,  tidak seperti layaknya kualitas hotel airy lain nya, mohon standard hotel airy room lebih di tingkatkan lagi, terima kasih",neg,neut,neut,neut,neg,neut,neg,neut,neut,neg
"Sepreynya bolong,remote tvnya g ada, saluran tvnya g jelas karna antenanya g ada jd g bs nonton, untungnya hanya semalem nginepnya",neut,neut,neut,neut,neut,neg,neut,neut,neg,neut
"pelayanan dari cleaning service lambat,  wifi putus nyambung, cuma menang tempat strategis",neut,neut,neut,neut,neut,neut,neg,neut,neut,neg
"wifi nya di lantai 2 lagi rusak, banyak serangga2 kecil, sinyal telkomsel dan 3 tidak masuk jd hp gak bisa dihubungin. pelayanan kamar oke. semua fasilitas berfungsi. ",neut,neut,neut,neut,neg,neut,pos,neut,neut,neg
"Sdh sering kesana.. semua nya OK. Cuma pas terakhir menginap, pendingin ruangan 308 TIDAK dingin. ",neg,neut,neut,pos,neut,neut,neut,neut,neut,neut
"pelayanan ramah, kamar nyaman, cuma agak sempit. tv tidak terlalu jelas, ada semutnya.",neut,neut,neut,neut,neut,neut,pos,neut,neg,neut
Pelayanan bagus...mohon AC nya segera diservice supaya lebih dingin lagi...,neg,neut,neut,neut,neut,neut,pos,neut,neut,neut
ac nya sering mati sendiri,neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
"kamar yang bocor,servisnya kurang, kebersihan",neut,neut,neut,neut,neg,neut,neg,neut,neut,neut
untuk AC di harap bisa lebih baik dan bisa di kondisionalkan kembali... terkadang AC tidak bsa d remote.. untuk air panas supaya di aktifkan...,neg,neg,neut,neut,neut,neut,neut,neut,neut,neut
"air kecil, kolam kotor,ac ga dingin,sedih bgt deh, tp petugasnya baik",neg,neut,neut,neut,neut,neut,pos,neut,neut,neut
"lokasinya sih bagus, bangunannya juga bersih, tapiii penjaganya agak kurang bersahabat. hati2 yaa kalo dateng bertiga bisa diminta ongkos tambahan, padahal waktu itu gara2 roomnya penuh. agak kapok sih nginap disini. apalagi suka banjir juga.",neut,neut,neut,neut,pos,neut,neg,neut,neut,neut
kamar bersih.selimut kotor dan kasar lagi.ga ada remote ac.trus panas. tv tabung kecil 20 inc.air kencang.wifi ga nyampe kamar.cma 1 garis.palayanan lambat pas cek in ga ada resepsionisnya nunggu lama baru siap.,neg,neut,neut,neut,pos,neg,neg,neut,neg,neg
brekfast enag fasilitass cukp baaik hanya jalam maasuk ke hotel sangatt kevcil hanya muat 1 mobik medum mpv kalo romboangan nak hi ace tdk muat dna adaa kamr yg baou lebab mungkin pihak manajement bisaa melakuka perbaian tapi overall ok hoel ini harga trjangkau tingkatkan trus pak nyoman recomended hoel with low budgt,neut,neut,neg,pos,neut,neut,neut,pos,neut,neut
"baik,hanya aroma airnya yg kurang mendukung saat mandi seperti bau got",neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
panas sekali waktu malam wif nya tidak berfungi,neg,neut,neut,neut,neut,neut,neut,neut,neut,neg
"Pas di kantong harga okay kagak lebay, harga dan kamar berbanding lurus, siaran TV hanya kompas TV dan TV dangdut aja.",neut,neut,neut,neut,neut,neut,neut,neut,neg,neut
Kebersihan kamar (lantai) perlu ditingkatkan lagi,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
udah enak to kurang bersih,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"hanya jaringan wifi saja yg perlu diperbaiki, selebihny sudah ok",neut,neut,neut,pos,neut,neut,neut,neut,neut,neg
hadnuk keliahaan kootor dan ada bercak-bercak tidak ptih lagi dan soebk sobek piggirnya,neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
kamar sesuai harga.. pelayanan staff sangat baik. ada air panas. tapi sepray kuning smua. handuknya coklat bau belum kering. tidak ada lift tapi saya betah disana,neut,pos,neut,neut,neut,neg,pos,neut,neut,neut
Kamar apek dan kebersihannya kurang diperhatikan.,neut,neut,neg,neut,neg,neut,neut,neut,neut,neut
kotor maknan pagi nasi goreng saja tpi ibya baik ramh,neut,neut,neut,neut,neg,neut,pos,neg,neut,neut
"Cukup nyaman, kamar bersih, kamar mandi lumayan. Cm 1 yg kurang: layar tv mati sendiri tp suara ada, ini trjdi di kmr deluxe. Over all hotel ini recomended. ",neut,neut,neut,pos,pos,neut,neut,neut,neg,neut
toiltt koorl n jorok gak ada air minerall snak n perlengkapan mandi seprti yang diiklankan burk,neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
"ac nya lumayan dingin dan air acnya bocor jadi basah lantainya, wifinya ga ada alasannya dalam perbaikan. menu makanannya dari sekalian banyak cuma 2 aja yg tersedia, untuk kamar bagus dan luas. Terimakasih. ",neg,neut,neut,neut,neut,neut,neut,neg,neut,neg
"pelayannan-nya ramah banget Ã¢ÂÂ¤Ã¯Â¸ÂÃ°ÂÂÂ dan kalauÃ¢ÂÂpun kurang paham mereka menjelaskan lagi sampai kita paham, sarapannya juga enak ,hanya saja sedikit tidak bersih kasur-nya mungkin bisa lebih baik lagi kedepan-nya , AC -nya dingin Ã°ÂÂÂ ada air hangat-nya juga untuk shower, over all itÃ¢ÂÂs good not bad Ã°ÂÂÂ.",pos,pos,neut,pos,neut,neg,pos,pos,neut,neut
